,Pclass,Age,SibSp,Parch,Fare,male
108,3,38.0,0,0,7.8958,1
109,3,24.0,1,0,24.15,0
110,1,47.0,0,0,52.0,1
111,3,14.5,1,0,14.4542,0
112,3,22.0,0,0,8.05,1
113,3,20.0,1,0,9.825,0
114,3,17.0,0,0,14.4583,0
115,3,21.0,0,0,7.925,1
116,3,70.5,0,0,7.75,1
117,2,29.0,1,0,21.0,1
118,1,24.0,0,1,247.5208,1
119,3,2.0,4,2,31.275,0
120,2,21.0,2,0,73.5,1
121,3,24.0,0,0,8.05,1
122,2,32.5,1,0,30.0708,1
123,2,32.5,0,0,13.0,0
124,1,54.0,0,1,77.2875,1
125,3,12.0,1,0,11.2417,1
126,3,24.0,0,0,7.75,1
127,3,24.0,0,0,7.1417,1
128,3,24.0,1,1,22.3583,0
129,3,45.0,0,0,6.975,1
130,3,33.0,0,0,7.8958,1
131,3,20.0,0,0,7.05,1
132,3,47.0,1,0,14.5,0
133,2,29.0,1,0,26.0,0
134,2,25.0,0,0,13.0,1
135,2,23.0,0,0,15.0458,1
136,1,19.0,0,2,26.2833,0
137,1,37.0,1,0,53.1,1
138,3,16.0,0,0,9.2167,1
139,1,24.0,0,0,79.2,1
140,3,24.0,0,2,15.2458,0
141,3,22.0,0,0,7.75,0
142,3,24.0,1,0,15.85,0
143,3,19.0,0,0,6.75,1
144,2,18.0,0,0,11.5,1
145,2,19.0,1,1,36.75,1
146,3,27.0,0,0,7.7958,1
147,3,9.0,2,2,34.375,0
148,2,36.5,0,2,26.0,1
149,2,42.0,0,0,13.0,1
150,2,51.0,0,0,12.525,1
151,1,22.0,1,0,66.6,0
152,3,55.5,0,0,8.05,1
153,3,40.5,0,2,14.5,1
154,3,24.0,0,0,7.3125,1
155,1,51.0,0,1,61.3792,1
156,3,16.0,0,0,7.7333,0
157,3,30.0,0,0,8.05,1
158,3,24.0,0,0,8.6625,1
159,3,24.0,8,2,69.55,1
160,3,44.0,0,1,16.1,1
161,2,40.0,0,0,15.75,0
162,3,26.0,0,0,7.775,1
163,3,17.0,0,0,8.6625,1
164,3,1.0,4,1,39.6875,1
165,3,9.0,0,2,20.525,1
166,1,37.0,0,1,55.0,0
167,3,45.0,1,4,27.9,0
168,1,37.0,0,0,25.925,1
169,3,28.0,0,0,56.4958,1
170,1,61.0,0,0,33.5,1
171,3,4.0,4,1,29.125,1
172,3,1.0,1,1,11.1333,0
173,3,21.0,0,0,7.925,1
174,1,56.0,0,0,30.6958,1
175,3,18.0,1,1,7.8542,1
176,3,24.0,3,1,25.4667,1
177,1,50.0,0,0,28.7125,0
178,2,30.0,0,0,13.0,1
179,3,36.0,0,0,0.0,1
180,3,24.0,8,2,69.55,0
181,2,29.0,0,0,15.05,1
182,3,9.0,4,2,31.3875,1
183,2,1.0,2,1,39.0,1
184,3,4.0,0,2,22.025,0
185,1,37.0,0,0,50.0,1
186,3,24.0,1,0,15.5,0
187,1,45.0,0,0,26.55,1
188,3,40.0,1,1,15.5,1
189,3,36.0,0,0,7.8958,1
190,2,32.0,0,0,13.0,0
191,2,19.0,0,0,13.0,1
192,3,19.0,1,0,7.8542,0
193,2,3.0,1,1,26.0,1
194,1,44.0,0,0,27.7208,0
195,1,58.0,0,0,146.5208,0
196,3,24.0,0,0,7.75,1
197,3,42.0,0,1,8.4042,1
198,3,24.0,0,0,7.75,0
199,2,24.0,0,0,13.0,0
200,3,28.0,0,0,9.5,1
201,3,24.0,8,2,69.55,1
202,3,34.0,0,0,6.4958,1
203,3,45.5,0,0,7.225,1
204,3,18.0,0,0,8.05,1
205,3,2.0,0,1,10.4625,0
206,3,32.0,1,0,15.85,1
207,3,26.0,0,0,18.7875,1
208,3,16.0,0,0,7.75,0
209,1,40.0,0,0,31.0,1
210,3,24.0,0,0,7.05,1
211,2,35.0,0,0,21.0,0
212,3,22.0,0,0,7.25,1
213,2,30.0,0,0,13.0,1
214,3,24.0,1,0,7.75,1
215,1,31.0,1,0,113.275,0
216,3,27.0,0,0,7.925,0
217,2,42.0,1,0,27.0,1
218,1,32.0,0,0,76.2917,0
219,2,30.0,0,0,10.5,1
220,3,16.0,0,0,8.05,1
221,2,27.0,0,0,13.0,1
222,3,51.0,0,0,8.05,1
223,3,24.0,0,0,7.8958,1
224,1,38.0,1,0,90.0,1
225,3,22.0,0,0,9.35,1
226,2,19.0,0,0,10.5,1
227,3,20.5,0,0,7.25,1
228,2,18.0,0,0,13.0,1
229,3,24.0,3,1,25.4667,0
230,1,35.0,1,0,83.475,0
231,3,29.0,0,0,7.775,1
232,2,59.0,0,0,13.5,1
233,3,5.0,4,2,31.3875,0
234,2,24.0,0,0,10.5,1
235,3,24.0,0,0,7.55,0
236,2,44.0,1,0,26.0,1
237,2,8.0,0,2,26.25,0
238,2,19.0,0,0,10.5,1
239,2,33.0,0,0,12.275,1
240,3,24.0,1,0,14.4542,0
241,3,24.0,1,0,15.5,0
242,2,29.0,0,0,10.5,1
243,3,22.0,0,0,7.125,1
244,3,30.0,0,0,7.225,1
245,1,44.0,2,0,90.0,1
246,3,25.0,0,0,7.775,0
247,2,24.0,0,2,14.5,0
248,1,37.0,1,1,52.5542,1
249,2,54.0,1,0,26.0,1
250,3,24.0,0,0,7.25,1
251,3,29.0,1,1,10.4625,0
252,1,62.0,0,0,26.55,1
253,3,30.0,1,0,16.1,1
254,3,41.0,0,2,20.2125,0
255,3,29.0,0,2,15.2458,0
256,1,37.0,0,0,79.2,0
257,1,30.0,0,0,86.5,0
258,1,35.0,0,0,512.3292,0
259,2,50.0,0,1,26.0,0
260,3,24.0,0,0,7.75,1
261,3,3.0,4,2,31.3875,1
262,1,52.0,1,1,79.65,1
263,1,40.0,0,0,0.0,1
264,3,24.0,0,0,7.75,0
265,2,36.0,0,0,10.5,1
266,3,16.0,4,1,39.6875,1
267,3,25.0,1,0,7.775,1
268,1,58.0,0,1,153.4625,0
269,1,35.0,0,0,135.6333,0
270,1,37.0,0,0,31.0,1
271,3,25.0,0,0,0.0,1
272,2,41.0,0,1,19.5,0
273,1,37.0,0,1,29.7,1
274,3,24.0,0,0,7.75,0
275,1,63.0,1,0,77.9583,0
276,3,45.0,0,0,7.75,0
277,2,29.0,0,0,0.0,1
278,3,7.0,4,1,29.125,1
279,3,35.0,1,1,20.25,0
280,3,65.0,0,0,7.75,1
281,3,28.0,0,0,7.8542,1
282,3,16.0,0,0,9.5,1
283,3,19.0,0,0,8.05,1
284,1,37.0,0,0,26.0,1
285,3,33.0,0,0,8.6625,1
286,3,30.0,0,0,9.5,1
287,3,22.0,0,0,7.8958,1
288,2,42.0,0,0,13.0,1
289,3,22.0,0,0,7.75,0
290,1,26.0,0,0,78.85,0
291,1,19.0,1,0,91.0792,0
292,2,36.0,0,0,12.875,1
293,3,24.0,0,0,8.85,0
294,3,24.0,0,0,7.8958,1
295,1,37.0,0,0,27.7208,1
296,3,23.5,0,0,7.2292,1
297,1,2.0,1,2,151.55,0
298,1,37.0,0,0,30.5,1
299,1,50.0,0,1,247.5208,0
300,3,24.0,0,0,7.75,0
301,3,24.0,2,0,23.25,1
302,3,19.0,0,0,0.0,1
303,2,29.0,0,0,12.35,0
304,3,24.0,0,0,8.05,1
305,1,0.92,1,2,151.55,1
306,1,37.0,0,0,110.8833,0
307,1,17.0,1,0,108.9,0
308,2,30.0,1,0,24.0,1
309,1,30.0,0,0,56.9292,0
310,1,24.0,0,0,83.1583,0
311,1,18.0,2,2,262.375,0
312,2,26.0,1,1,26.0,0
313,3,28.0,0,0,7.8958,1
314,2,43.0,1,1,26.25,1
315,3,26.0,0,0,7.8542,0
316,2,24.0,1,0,26.0,0
317,2,54.0,0,0,14.0,1
318,1,31.0,0,2,164.8667,0
319,1,40.0,1,1,134.5,0
320,3,22.0,0,0,7.25,1
321,3,27.0,0,0,7.8958,1
322,2,30.0,0,0,12.35,0
323,2,22.0,1,1,29.0,0
324,3,24.0,8,2,69.55,1
325,1,36.0,0,0,135.6333,0
326,3,61.0,0,0,6.2375,1
327,2,36.0,0,0,13.0,0
328,3,31.0,1,1,20.525,0
329,1,16.0,0,1,57.9792,0
330,3,24.0,2,0,23.25,0
331,1,45.5,0,0,28.5,1
332,1,38.0,0,1,153.4625,1
333,3,16.0,2,0,18.0,1
334,1,37.0,1,0,133.65,0
335,3,24.0,0,0,7.8958,1
336,1,29.0,1,0,66.6,1
337,1,41.0,0,0,134.5,0
338,3,45.0,0,0,8.05,1
339,1,45.0,0,0,35.5,1
340,2,2.0,1,1,26.0,1
341,1,24.0,3,2,263.0,0
342,2,28.0,0,0,13.0,1
343,2,25.0,0,0,13.0,1
344,2,36.0,0,0,13.0,1
345,2,24.0,0,0,13.0,0
346,2,40.0,0,0,13.0,0
347,3,24.0,1,0,16.1,0
348,3,3.0,1,1,15.9,1
349,3,42.0,0,0,8.6625,1
350,3,23.0,0,0,9.225,1
351,1,37.0,0,0,35.0,1
352,3,15.0,1,1,7.2292,1
353,3,25.0,1,0,17.8,1
354,3,24.0,0,0,7.225,1
355,3,28.0,0,0,9.5,1
356,1,22.0,0,1,55.0,0
357,2,38.0,0,0,13.0,0
358,3,24.0,0,0,7.8792,0
359,3,24.0,0,0,7.8792,0
360,3,40.0,1,4,27.9,1
361,2,29.0,1,0,27.7208,1
362,3,45.0,0,1,14.4542,0
363,3,35.0,0,0,7.05,1
364,3,24.0,1,0,15.5,1
365,3,30.0,0,0,7.25,1
366,1,60.0,1,0,75.25,0
367,3,24.0,0,0,7.2292,0
368,3,24.0,0,0,7.75,0
369,1,24.0,0,0,69.3,0
370,1,25.0,1,0,55.4417,1
371,3,18.0,1,0,6.4958,1
372,3,19.0,0,0,8.05,1
373,1,22.0,0,0,135.6333,1
374,3,3.0,3,1,21.075,0
375,1,37.0,1,0,82.1708,0
376,3,22.0,0,0,7.25,0
377,1,27.0,0,2,211.5,1
378,3,20.0,0,0,4.0125,1
379,3,19.0,0,0,7.775,1
380,1,42.0,0,0,227.525,0
381,3,1.0,0,2,15.7417,0
382,3,32.0,0,0,7.925,1
383,1,35.0,1,0,52.0,0
384,3,24.0,0,0,7.8958,1
385,2,18.0,0,0,73.5,1
386,3,1.0,5,2,46.9,1
387,2,36.0,0,0,13.0,0
388,3,24.0,0,0,7.7292,1
389,2,17.0,0,0,12.0,0
390,1,36.0,1,2,120.0,1
391,3,21.0,0,0,7.7958,1
392,3,28.0,2,0,7.925,1
393,1,23.0,1,0,113.275,0
394,3,24.0,0,2,16.7,0
395,3,22.0,0,0,7.7958,1
396,3,31.0,0,0,7.8542,0
397,2,46.0,0,0,26.0,1
398,2,23.0,0,0,10.5,1
399,2,28.0,0,0,12.65,0
400,3,39.0,0,0,7.925,1
401,3,26.0,0,0,8.05,1
402,3,21.0,1,0,9.825,0
403,3,28.0,1,0,15.85,1
404,3,20.0,0,0,8.6625,0
405,2,34.0,1,0,21.0,1
406,3,51.0,0,0,7.75,1
407,2,3.0,1,1,18.75,1
408,3,21.0,0,0,7.775,1
409,3,24.0,3,1,25.4667,0
410,3,24.0,0,0,7.8958,1
411,3,24.0,0,0,6.8583,1
412,1,33.0,1,0,90.0,0
413,2,29.0,0,0,0.0,1
414,3,44.0,0,0,7.925,1
415,3,24.0,0,0,8.05,0
416,2,34.0,1,1,32.5,0
417,2,18.0,0,2,13.0,0
418,2,30.0,0,0,13.0,1
419,3,10.0,0,2,24.15,0
420,3,24.0,0,0,7.8958,1
421,3,21.0,0,0,7.7333,1
422,3,29.0,0,0,7.875,1
423,3,28.0,1,1,14.4,0
424,3,18.0,1,1,20.2125,1
425,3,24.0,0,0,7.25,1
426,2,28.0,1,0,26.0,0
427,2,19.0,0,0,26.0,0
428,3,24.0,0,0,7.75,1
429,3,32.0,0,0,8.05,1
430,1,28.0,0,0,26.55,1
431,3,24.0,1,0,16.1,0
432,2,42.0,1,0,26.0,0
433,3,17.0,0,0,7.125,1
434,1,50.0,1,0,55.9,1
435,1,14.0,1,2,120.0,0
436,3,21.0,2,2,34.375,0
437,2,24.0,2,3,18.75,0
438,1,64.0,1,4,263.0,1
439,2,31.0,0,0,10.5,1
440,2,45.0,1,1,26.25,0
441,3,20.0,0,0,9.5,1
442,3,25.0,1,0,7.775,1
443,2,28.0,0,0,13.0,0
444,3,24.0,0,0,8.1125,1
445,1,4.0,0,2,81.8583,1
446,2,13.0,0,1,19.5,0
447,1,34.0,0,0,26.55,1
448,3,5.0,2,1,19.2583,0
449,1,52.0,0,0,30.5,1
450,2,36.0,1,2,27.75,1
451,3,24.0,1,0,19.9667,1
452,1,30.0,0,0,27.75,1
453,1,49.0,1,0,89.1042,1
454,3,24.0,0,0,8.05,1
455,3,29.0,0,0,7.8958,1
456,1,65.0,0,0,26.55,1
457,1,37.0,1,0,51.8625,0
458,2,50.0,0,0,10.5,0
459,3,24.0,0,0,7.75,1
460,1,48.0,0,0,26.55,1
461,3,34.0,0,0,8.05,1
462,1,47.0,0,0,38.5,1
463,2,48.0,0,0,13.0,1
464,3,24.0,0,0,8.05,1
465,3,38.0,0,0,7.05,1
466,2,29.0,0,0,0.0,1
467,1,56.0,0,0,26.55,1
468,3,24.0,0,0,7.725,1
469,3,0.75,2,1,19.2583,0
470,3,24.0,0,0,7.25,1
471,3,38.0,0,0,8.6625,1
472,2,33.0,1,2,27.75,0
473,2,23.0,0,0,13.7917,0
474,3,22.0,0,0,9.8375,0
475,1,37.0,0,0,52.0,1
476,2,34.0,1,0,21.0,1
477,3,29.0,1,0,7.0458,1
478,3,22.0,0,0,7.5208,1
479,3,2.0,0,1,12.2875,0
480,3,9.0,5,2,46.9,1
481,2,29.0,0,0,0.0,1
482,3,50.0,0,0,8.05,1
483,3,63.0,0,0,9.5875,0
484,1,25.0,1,0,91.0792,1
485,3,24.0,3,1,25.4667,0
486,1,35.0,1,0,90.0,0
487,1,58.0,0,0,29.7,1
488,3,30.0,0,0,8.05,1
489,3,9.0,1,1,15.9,1
490,3,24.0,1,0,19.9667,1
491,3,21.0,0,0,7.25,1
492,1,55.0,0,0,30.5,1
493,1,71.0,0,0,49.5042,1
494,3,21.0,0,0,8.05,1
495,3,24.0,0,0,14.4583,1
496,1,54.0,1,0,78.2667,0
497,3,24.0,0,0,15.1,1
498,1,25.0,1,2,151.55,0
499,3,24.0,0,0,7.7958,1
500,3,17.0,0,0,8.6625,1
501,3,21.0,0,0,7.75,0
502,3,24.0,0,0,7.6292,0
503,3,37.0,0,0,9.5875,0
504,1,16.0,0,0,86.5,0
505,1,18.0,1,0,108.9,1
506,2,33.0,0,2,26.0,0
507,1,37.0,0,0,26.55,1
508,3,28.0,0,0,22.525,1
509,3,26.0,0,0,56.4958,1
510,3,29.0,0,0,7.75,1
511,3,24.0,0,0,8.05,1
512,1,36.0,0,0,26.2875,1
513,1,54.0,1,0,59.4,0
514,3,24.0,0,0,7.4958,1
515,1,47.0,0,0,34.0208,1
516,2,34.0,0,0,10.5,0
517,3,24.0,0,0,24.15,1
518,2,36.0,1,0,26.0,0
519,3,32.0,0,0,7.8958,1
520,1,30.0,0,0,93.5,0
521,3,22.0,0,0,7.8958,1
522,3,24.0,0,0,7.225,1
523,1,44.0,0,1,57.9792,0
524,3,24.0,0,0,7.2292,1
525,3,40.5,0,0,7.75,1
526,2,50.0,0,0,10.5,0
527,1,37.0,0,0,221.7792,1
528,3,39.0,0,0,7.925,1
529,2,23.0,2,1,11.5,1
530,2,2.0,1,1,26.0,0
531,3,24.0,0,0,7.2292,1
532,3,17.0,1,1,7.2292,1
533,3,24.0,0,2,22.3583,0
534,3,30.0,0,0,8.6625,0
535,2,7.0,0,2,26.25,0
536,1,45.0,0,0,26.55,1
537,1,30.0,0,0,106.425,0
538,3,24.0,0,0,14.5,1
539,1,22.0,0,2,49.5,0
540,1,36.0,0,2,71.0,0
541,3,9.0,4,2,31.275,0
542,3,11.0,4,2,31.275,0
543,2,32.0,1,0,26.0,1
544,1,50.0,1,0,106.425,1
545,1,64.0,0,0,26.0,1
546,2,19.0,1,0,26.0,0
547,2,29.0,0,0,13.8625,1
548,3,33.0,1,1,20.525,1
549,2,8.0,1,1,36.75,1
550,1,17.0,0,2,110.8833,1
551,2,27.0,0,0,26.0,1
552,3,24.0,0,0,7.8292,1
553,3,22.0,0,0,7.225,1
554,3,22.0,0,0,7.775,0
555,1,62.0,0,0,26.55,1
556,1,48.0,1,0,39.6,0
557,1,37.0,0,0,227.525,1
558,1,39.0,1,1,79.65,0
559,3,36.0,1,0,17.4,0
560,3,24.0,0,0,7.75,1
561,3,40.0,0,0,7.8958,1
562,2,28.0,0,0,13.5,1
563,3,24.0,0,0,8.05,1
564,3,24.0,0,0,8.05,0
565,3,24.0,2,0,24.15,1
566,3,19.0,0,0,7.8958,1
567,3,29.0,0,4,21.075,0
568,3,24.0,0,0,7.2292,1
569,3,32.0,0,0,7.8542,1
570,2,62.0,0,0,10.5,1
571,1,53.0,2,0,51.4792,0
572,1,36.0,0,0,26.3875,1
573,3,24.0,0,0,7.75,0
574,3,16.0,0,0,8.05,1
575,3,19.0,0,0,14.5,1
576,2,34.0,0,0,13.0,0
577,1,39.0,1,0,55.9,0
578,3,24.0,1,0,14.4583,0
579,3,32.0,0,0,7.925,1
580,2,25.0,1,1,30.0,0
581,1,39.0,1,1,110.8833,0
582,2,54.0,0,0,26.0,1
583,1,36.0,0,0,40.125,1
584,3,24.0,0,0,8.7125,1
585,1,18.0,0,2,79.65,0
586,2,47.0,0,0,15.0,1
587,1,60.0,1,1,79.2,1
588,3,22.0,0,0,8.05,1
589,3,24.0,0,0,8.05,1
590,3,35.0,0,0,7.125,1
591,1,52.0,1,0,78.2667,0
592,3,47.0,0,0,7.25,1
593,3,24.0,0,2,7.75,0
594,2,37.0,1,0,26.0,1
595,3,36.0,1,1,24.15,1
596,2,29.0,0,0,33.0,0
597,3,49.0,0,0,0.0,1
598,3,24.0,0,0,7.225,1
599,1,49.0,1,0,56.9292,1
600,2,24.0,2,1,27.0,0
601,3,24.0,0,0,7.8958,1
602,1,37.0,0,0,42.4,1
603,3,44.0,0,0,8.05,1
604,1,35.0,0,0,26.55,1
605,3,36.0,1,0,15.55,1
606,3,30.0,0,0,7.8958,1
607,1,27.0,0,0,30.5,1
608,2,22.0,1,2,41.5792,0
609,1,40.0,0,0,153.4625,0
610,3,39.0,1,5,31.275,0
611,3,24.0,0,0,7.05,1
612,3,24.0,1,0,15.5,0
613,3,24.0,0,0,7.75,1
614,3,35.0,0,0,8.05,1
615,2,24.0,1,2,65.0,0
616,3,34.0,1,1,14.4,1
617,3,26.0,1,0,16.1,0
618,2,4.0,2,1,39.0,0
619,2,26.0,0,0,10.5,1
620,3,27.0,1,0,14.4542,1
621,1,42.0,1,0,52.5542,1
622,3,20.0,1,1,15.7417,1
623,3,21.0,0,0,7.8542,1
624,3,21.0,0,0,16.1,1
625,1,61.0,0,0,32.3208,1
626,2,57.0,0,0,12.35,1
627,1,21.0,0,0,77.9583,0
628,3,26.0,0,0,7.8958,1
629,3,24.0,0,0,7.7333,1
630,1,80.0,0,0,30.0,1
631,3,51.0,0,0,7.0542,1
632,1,32.0,0,0,30.5,1
633,1,37.0,0,0,0.0,1
634,3,9.0,3,2,27.9,0
635,2,28.0,0,0,13.0,0
636,3,32.0,0,0,7.925,1
637,2,31.0,1,1,26.25,1
638,3,41.0,0,5,39.6875,0
639,3,24.0,1,0,16.1,1
640,3,20.0,0,0,7.8542,1
641,1,24.0,0,0,69.3,0
642,3,2.0,3,2,27.9,0
643,3,24.0,0,0,56.4958,1
644,3,0.75,2,1,19.2583,0
645,1,48.0,1,0,76.7292,1
646,3,19.0,0,0,7.8958,1
647,1,56.0,0,0,35.5,1
648,3,24.0,0,0,7.55,1
649,3,23.0,0,0,7.55,0
650,3,24.0,0,0,7.8958,1
651,2,18.0,0,1,23.0,0
652,3,21.0,0,0,8.4333,1
653,3,24.0,0,0,7.8292,0
654,3,18.0,0,0,6.75,0
655,2,24.0,2,0,73.5,1
656,3,24.0,0,0,7.8958,1
657,3,32.0,1,1,15.5,0
658,2,23.0,0,0,13.0,1
659,1,58.0,0,2,113.275,1
660,1,50.0,2,0,133.65,1
661,3,40.0,0,0,7.225,1
662,1,47.0,0,0,25.5875,1
663,3,36.0,0,0,7.4958,1
664,3,20.0,1,0,7.925,1
665,2,32.0,2,0,73.5,1
666,2,25.0,0,0,13.0,1
667,3,24.0,0,0,7.775,1
668,3,43.0,0,0,8.05,1
669,1,37.0,1,0,52.0,0
670,2,40.0,1,1,39.0,0
671,1,31.0,1,0,52.0,1
672,2,70.0,0,0,10.5,1
673,2,31.0,0,0,13.0,1
674,2,29.0,0,0,0.0,1
675,3,18.0,0,0,7.775,1
676,3,24.5,0,0,8.05,1
677,3,18.0,0,0,9.8417,0
678,3,43.0,1,6,46.9,0
679,1,36.0,0,1,512.3292,1
680,3,24.0,0,0,8.1375,0
681,1,27.0,0,0,76.7292,1
682,3,20.0,0,0,9.225,1
683,3,14.0,5,2,46.9,1
684,2,60.0,1,1,39.0,1
685,2,25.0,1,2,41.5792,1
686,3,14.0,4,1,39.6875,1
687,3,19.0,0,0,10.1708,1
688,3,18.0,0,0,7.7958,1
689,1,15.0,0,1,211.3375,0
690,1,31.0,1,0,57.0,1
691,3,4.0,0,1,13.4167,0
692,3,24.0,0,0,56.4958,1
693,3,25.0,0,0,7.225,1
694,1,60.0,0,0,26.55,1
695,2,52.0,0,0,13.5,1
696,3,44.0,0,0,8.05,1
697,3,24.0,0,0,7.7333,0
698,1,49.0,1,1,110.8833,1
699,3,42.0,0,0,7.65,1
700,1,18.0,1,0,227.525,0
701,1,35.0,0,0,26.2875,1
702,3,18.0,0,1,14.4542,0
703,3,25.0,0,0,7.7417,1
704,3,26.0,1,0,7.8542,1
705,2,39.0,0,0,26.0,1
706,2,45.0,0,0,13.5,0
707,1,42.0,0,0,26.2875,1
708,1,22.0,0,0,151.55,0
709,3,24.0,1,1,15.2458,1
710,1,24.0,0,0,49.5042,0
711,1,37.0,0,0,26.55,1
712,1,48.0,1,0,52.0,1
713,3,29.0,0,0,9.4833,1
714,2,52.0,0,0,13.0,1
715,3,19.0,0,0,7.65,1
716,1,38.0,0,0,227.525,0
717,2,27.0,0,0,10.5,0
718,3,24.0,0,0,15.5,1
719,3,33.0,0,0,7.775,1
720,2,6.0,0,1,33.0,0
721,3,17.0,1,0,7.0542,1
722,2,34.0,0,0,13.0,1
723,2,50.0,0,0,13.0,1
724,1,27.0,1,0,53.1,1
725,3,20.0,0,0,8.6625,1
726,2,30.0,3,0,21.0,0
727,3,24.0,0,0,7.7375,0
728,2,25.0,1,0,26.0,1
729,3,25.0,1,0,7.925,0
730,1,29.0,0,0,211.3375,0
731,3,11.0,0,0,18.7875,1
732,2,29.0,0,0,0.0,1
733,2,23.0,0,0,13.0,1
734,2,23.0,0,0,13.0,1
735,3,28.5,0,0,16.1,1
736,3,48.0,1,3,34.375,0
737,1,35.0,0,0,512.3292,1
738,3,24.0,0,0,7.8958,1
739,3,24.0,0,0,7.8958,1
740,1,37.0,0,0,30.0,1
741,1,36.0,1,0,78.85,1
742,1,21.0,2,2,262.375,0
743,3,24.0,1,0,16.1,1
744,3,31.0,0,0,7.925,1
745,1,70.0,1,1,71.0,1
746,3,16.0,1,1,20.25,1
747,2,30.0,0,0,13.0,0
748,1,19.0,1,0,53.1,1
749,3,31.0,0,0,7.75,1
750,2,4.0,1,1,23.0,0
751,3,6.0,0,1,12.475,1
752,3,33.0,0,0,9.5,1
753,3,23.0,0,0,7.8958,1
754,2,48.0,1,2,65.0,0
755,2,0.67,1,1,14.5,1
756,3,28.0,0,0,7.7958,1
757,2,18.0,0,0,11.5,1
758,3,34.0,0,0,8.05,1
759,1,33.0,0,0,86.5,0
760,3,24.0,0,0,14.5,1
